adv_floor,n_months,avg_holdings,avg_monthly_turnover_frac,avg_monthly_cost_drag,cagr_gross,cagr_net,cagr_benchmark,maxdd_net,maxdd_bench,vol_ann_net,sharpe_like_net,final_equity_net,final_equity_gross,final_equity_bench,universe
0,107,155.8785046728972,0.13750597596775113,0.011258779980166502,1.496402213326299,1.2034946278644405,0.0031067417411887455,-0.2289688196061671,-0.5761974217243738,1.7423805349182724,0.7078465262742695,1146.6088723253827,3489.1648123347204,1.028044895046859,full
25000,100,8.43,0.7125097048148978,0.059668442896393455,0.32225606612482194,-0.3794017450043323,0.00611116016443547,-0.9960165084897533,-0.5761974217243738,0.7616247891277166,-0.25699309311273044,0.01876814070964958,10.255647085244723,1.0520823137749515,full
100000,66,3.1515151515151514,0.7216026464232206,0.03560497835497836,0.7370175339538776,0.09570419850874723,-0.002893582540899331,-0.9475814673386134,-0.5267972162677592,1.465805313473035,0.6884976094881522,1.653153921977885,20.841218798414207,0.9841885605198621,full
250000,41,1.8780487804878048,0.7036585365853658,0.02265040650406504,0.16801612943587552,-0.11310900001556301,0.06490136772302879,-0.7802338800345027,-0.31923066636549086,1.7198733789384664,0.598718942028973,0.6635749961693748,1.7000050194531284,1.2396727785840653,full
500000,25,1.44,0.7919047619047619,0.025666666666666667,-0.4398883475199561,-0.5881531527038109,0.08852750165490209,-0.8766966392753942,-0.22261432561640032,1.8464405698194912,0.2770340369365051,0.15753103887240502,0.2989317878087579,1.193297587024843,full
0,107,50.81308411214953,0.13786603941423425,0.011297090411030733,1.2535168210291103,0.9885648040285806,0.0031067417411887455,-0.30751247654626357,-0.5761974217243738,0.5244836211311511,1.5490173381329846,459.17625750545216,1400.6904585985476,1.028044895046859,holdout
25000,71,3.352112676056338,0.6483627092782023,0.050773906062638464,-0.13348804392736457,-0.5649935562469672,0.028552555082012043,-0.994512234042212,-0.5360690554781319,0.9555302059721215,-0.37285876582936917,0.007262723332828641,0.4283835742850764,1.1812451824529342,holdout
100000,36,1.6666666666666667,0.5611111111111111,0.03081018518518519,-0.019851546221504313,-0.38404899914930146,0.2025804032408165,-0.9048484840276497,-0.13041675856827656,2.0201804128947938,0.3756060384541283,0.2336891213731843,0.9416197898231351,1.7391713297130795,holdout
250000,19,1.105263157894737,0.42105263157894735,0.016578947368421054,1.3620952436668032,0.9836927404908469,0.3653780373900277,-0.7010547942684129,-0.11244042288162284,3.13002143762556,0.8972273175456698,2.958020228764593,3.8999067675888903,1.6373836341265384,holdout
500000,8,1.125,0.4375,0.015625,-0.11791867993528349,-0.21988273645984047,0.9962645705720186,-0.44262555574737955,-0.07384388807069217,1.3260049259367301,0.24457407221575153,0.8474353816423995,0.9197555491077904,1.5854238946531154,holdout
