formation_date,n_holdings,gross_ret,turnover_cost,net_ret,n_trades,bench_ret,turnover_frac,equity_net,equity_gross,equity_bench
2016-04-30,2,0.30555555555555547,0.02,0.28555555555555545,2,-0.0065938625216709346,1.0,1.2855555555555553,1.3055555555555554,0.9934061374783291
2016-05-31,1,0.9166666666666667,0.06,0.8566666666666667,3,0.07720789275759854,1.0,2.3868481481481476,2.5023148148148144,1.070104932005496
2016-06-30,4,0.07670454545454544,0.0125,0.06420454545454544,3,0.08998103755812048,0.75,2.540094648569023,2.69425373526936,1.1663940840834126
2016-07-31,1,-0.368421052631579,0.025,-0.393421052631579,3,-0.013087657158647015,0.75,1.5407679381451571,1.7016339380648589,1.1511287181990548
2016-08-31,1,0.032258064516129004,0.03,0.0022580645161290047,2,0.018428253261215444,1.0,1.544247091553872,1.7565253554217897,1.1723420097542854
2016-09-30,3,-0.020450253535115908,0.009999999999999998,-0.030450253535115906,2,-0.03044124814115945,0.6666666666666666,1.4972243760951913,1.7206039665625545,1.1366544557290497
2016-10-31,2,0.12453007518796988,0.013333333333333332,0.11119674185463654,1,-0.04632685016240268,0.3333333333333333,1.6637108485423175,1.9348709078873088,1.0839968350720626
2016-11-30,4,0.03946653628857019,0.01,0.02946653628857019,2,0.034465446354668305,0.5,1.7127346446345777,2.011233560787142,1.121357269839869
2016-12-31,3,0.01795125164690377,0.01,0.007951251646903771,1,0.058987105998399736,0.25,1.7263530287984377,2.0473377205575303,1.1875028899779896
2017-01-31,3,-0.2072027411241525,0.026666666666666665,-0.23386940779081916,4,0.012237718928828079,0.8,1.32261186831546,1.6231237328511359,1.2020352165727113
2017-02-28,6,-0.11593858816081039,0.008333333333333333,-0.12427192149414372,3,-0.016029955214018288,0.5,1.1582483500489384,1.4349410588540708,1.182766645885378
2017-03-31,2,0.5151515151515152,0.04,0.47515151515151527,6,-0.011032521421479147,0.8571428571428571,1.7085918084964342,2.1741531194758648,1.1697177475280365
2017-04-30,3,-0.16071428571428578,0.003333333333333333,-0.1640476190476191,1,-0.002243514260569901,0.3333333333333333,1.4283013903883286,1.8247356538458148,1.1670934690806156
2017-05-31,1,0.2195121951219512,0.026666666666666665,0.19284552845528452,2,-0.041455181897737226,0.6666666666666666,1.7037429268111834,2.2252873827387987,1.1187113970282176
2017-06-30,2,0.4933333333333335,0.005,0.4883333333333335,1,0.007603620523254362,0.5,2.5357373894039785,3.32309582488994,1.12721765396626
2017-07-31,1,0.125,0.07,0.05499999999999999,3,0.008424632639285612,1.0,2.675202945821197,3.7384828030011823,1.136714048605443
