ticker,status,rows,start,end,source,n_splits,n_jump_flags
AST,ok,1023.0,2017-10-10,2024-12-31,tmx,0.0,4.0
SASK,ok,433.0,2023-04-11,2024-12-31,tmx,0.0,0.0
ATY,ok,2493.0,2015-01-02,2024-12-31,tmx,0.0,0.0
ATLE,ok,1272.0,2019-12-05,2024-12-31,tmx,0.0,0.0
AEP,ok,2026.0,2015-01-06,2024-12-31,tmx,0.0,5.0
SALT,ok,1616.0,2015-01-02,2024-12-31,tmx,0.0,6.0
ATOM,ok,1510.0,2015-02-02,2024-12-31,tmx,0.0,2.0
AAN,ok,2011.0,2015-01-05,2024-12-31,tmx,0.0,2.0
AUGC,ok,884.0,2020-12-29,2024-12-31,tmx,0.0,1.0
AUM,ok,129.0,2024-06-26,2024-12-31,tmx,0.0,0.0
AUQ,ok,1066.0,2015-01-02,2024-12-31,tmx,0.0,1.0
ARU,ok,2111.0,2015-01-16,2024-12-31,tmx,0.0,2.0
AURA,empty,,,,,,
RES,ok,213.0,2024-02-27,2024-12-31,tmx,0.0,0.0
AUME,ok,1909.0,2015-02-10,2024-12-31,tmx,0.0,0.0
AURO,ok,1027.0,2020-11-25,2024-12-31,tmx,0.0,0.0
ACU,ok,2398.0,2015-01-02,2024-12-31,tmx,0.0,0.0
ASG,ok,2191.0,2015-01-02,2024-12-31,tmx,0.0,0.0
ARL,ok,244.0,2024-01-12,2024-12-31,tmx,0.0,0.0
AGLD,ok,1655.0,2016-08-19,2024-12-31,tmx,0.0,0.0
XX,ok,2248.0,2015-01-02,2024-12-31,tmx,0.0,0.0
AVN,ok,1726.0,2015-01-02,2024-12-31,tmx,0.0,0.0
AVR,ok,378.0,2023-06-29,2024-12-31,tmx,0.0,0.0
AVG,ok,1705.0,2015-01-05,2024-12-31,tmx,0.0,1.0
AVCR,ok,1923.0,2016-11-21,2024-12-31,tmx,0.0,2.0
AVU,ok,2187.0,2015-01-02,2024-12-31,tmx,0.0,1.0
ARIC,ok,1480.0,2016-04-13,2024-12-31,tmx,0.0,0.0
AXO,empty,,,,,,
AZR,ok,2106.0,2015-01-02,2024-12-31,tmx,0.0,10.0
AZM,ok,2346.0,2015-01-02,2024-12-31,tmx,0.0,0.0
AAZ,ok,2369.0,2015-01-02,2024-12-31,tmx,0.0,0.0
AZT,ok,1605.0,2017-05-04,2024-12-31,tmx,0.0,0.0
BLDS,ok,2439.0,2015-01-02,2024-12-31,tmx,0.0,2.0
BYN,ok,2221.0,2015-01-07,2024-12-31,tmx,0.0,0.0
BRO,ok,1964.0,2015-01-05,2024-12-31,tmx,0.0,3.0
BARU,ok,2358.0,2015-01-02,2024-12-31,tmx,0.0,14.0
BAT,ok,2136.0,2015-01-05,2024-12-31,tmx,0.0,0.0
BMV,ok,1060.0,2015-01-12,2024-12-31,tmx,0.0,4.0
BMR,ok,927.0,2021-02-24,2024-12-31,tmx,0.0,0.0
BHS,ok,2444.0,2015-01-02,2024-12-31,tmx,0.0,0.0
BM,ok,1341.0,2015-01-06,2024-12-31,tmx,0.0,5.0
B,ok,2077.0,2015-01-06,2024-12-31,tmx,0.0,1.0
BECN,ok,772.0,2021-11-02,2024-12-31,tmx,0.0,0.0
BGF,ok,1419.0,2019-02-04,2024-12-31,tmx,0.0,0.0
BFM,ok,1755.0,2015-01-02,2024-12-31,tmx,0.0,5.0
BCU,ok,2271.0,2015-01-02,2024-12-31,tmx,0.0,15.0
BEA,ok,2147.0,2015-01-05,2024-12-31,tmx,0.0,1.0
BEX,ok,2280.0,2015-01-05,2024-12-31,tmx,0.0,0.0
BZ,ok,1775.0,2015-01-07,2024-12-31,tmx,0.0,1.0
BST,ok,1796.0,2015-01-09,2024-12-31,tmx,0.0,25.0
BEW,ok,2279.0,2015-01-02,2024-12-31,tmx,0.0,0.0
BEAR,ok,2175.0,2015-01-05,2024-12-31,tmx,0.0,20.0
BRAU,ok,2023.0,2015-01-05,2024-12-31,tmx,0.0,0.0
BIGT,ok,1808.0,2015-01-06,2024-12-31,tmx,0.0,1.0
BRM,ok,1884.0,2015-01-05,2024-12-31,tmx,0.0,0.0
RX,ok,2474.0,2015-01-02,2024-12-31,tmx,0.0,0.0
BTCT,empty,,,,,,
BTCW,ok,888.0,2018-07-30,2024-12-31,tmx,0.0,4.0
BTT,ok,2123.0,2015-01-05,2024-12-31,tmx,0.0,5.0
BMM,ok,1413.0,2015-01-19,2024-12-31,tmx,0.0,4.0
BPR,empty,,,,,,
BARK,ok,1074.0,2015-02-11,2024-12-31,tmx,0.0,1.0
SWAN,ok,1002.0,2015-01-06,2024-12-31,tmx,0.0,1.0
BRC,ok,2033.0,2015-01-02,2024-12-31,tmx,0.0,1.0
BAG,ok,1817.0,2015-01-08,2024-12-31,tmx,0.0,7.0
BITK,ok,2035.0,2015-01-02,2024-12-31,tmx,0.0,35.0
MATE,ok,1903.0,2015-01-05,2024-12-31,tmx,0.0,3.0
BKMT,ok,1403.0,2016-03-18,2024-12-31,tmx,0.0,0.0
JAY,empty,,,,,,
MOON,ok,2094.0,2015-01-07,2024-12-31,tmx,0.0,3.0
BSK,ok,2369.0,2015-01-06,2024-12-31,tmx,0.0,1.0
BAU,ok,2113.0,2015-01-07,2024-12-31,tmx,0.0,0.0
BLU,empty,,,,,,
BLM,ok,1742.0,2015-01-02,2024-12-31,tmx,0.0,1.0
BWLK,ok,1441.0,2018-06-11,2024-12-31,tmx,0.0,1.0
BOCA,ok,500.0,2023-01-05,2024-12-31,tmx,0.0,3.0
BOL,ok,1761.0,2015-01-06,2024-12-31,tmx,0.0,7.0
BNZ,ok,877.0,2021-03-29,2024-12-31,tmx,0.0,2.0
BTR,ok,2490.0,2015-01-02,2024-12-31,tmx,0.0,0.0
BOGO,ok,101.0,2024-08-07,2024-12-31,tmx,0.0,0.0
BONE,ok,2267.0,2015-01-05,2024-12-31,tmx,0.0,1.0
BPAG,empty,,,,,,
BQE,ok,1987.0,2015-01-02,2024-12-31,tmx,0.0,0.0
BES,ok,1479.0,2015-01-09,2024-12-31,tmx,0.0,7.0
BEM,ok,1285.0,2015-01-05,2024-12-31,tmx,0.0,4.0
BVA,ok,2268.0,2015-01-02,2024-12-31,tmx,0.0,0.0
BRVO,ok,614.0,2022-07-21,2024-12-31,tmx,0.0,0.0
BBB,ok,2384.0,2015-01-02,2024-12-31,tmx,0.0,0.0
BRON,ok,1629.0,2015-01-08,2024-12-31,tmx,0.0,0.0
BRW,ok,2032.0,2015-01-02,2024-12-31,tmx,0.0,0.0
BTU,ok,1755.0,2017-06-20,2024-12-31,tmx,0.0,0.0
BUFF,empty,,,,,,
BILD,ok,846.0,2021-08-18,2024-12-31,tmx,0.0,0.0
BCF,ok,1704.0,2015-01-05,2024-12-31,tmx,0.0,0.0
ZLTO,ok,444.0,2023-03-27,2024-12-31,tmx,0.0,2.0
FROG,ok,203.0,2024-03-12,2024-12-31,tmx,0.0,0.0
BGD,ok,1593.0,2015-01-05,2024-12-31,tmx,0.0,10.0
BWR,ok,1666.0,2015-01-07,2024-12-31,tmx,0.0,2.0
CMI,ok,2368.0,2015-01-02,2024-12-31,tmx,0.0,0.0
CCCM,ok,2043.0,2015-07-07,2024-12-31,tmx,0.0,0.0
CBR,ok,1804.0,2015-01-02,2024-12-31,tmx,0.0,0.0
CNO,ok,1778.0,2015-01-05,2024-12-31,tmx,0.0,0.0
CAMB,empty,,,,,,
COR,ok,2244.0,2015-01-02,2024-12-31,tmx,0.0,0.0
CNC,ok,1214.0,2020-02-27,2024-12-31,tmx,0.0,0.0
CONE,ok,1727.0,2015-01-05,2024-12-31,tmx,0.0,13.0
CCMI,ok,1965.0,2015-01-07,2024-12-31,tmx,0.0,3.0
CAN,ok,12.0,2024-12-12,2024-12-31,tmx,0.0,0.0
CGM,ok,2152.0,2015-01-02,2024-12-31,tmx,0.0,0.0
CNRI,ok,686.0,2022-04-07,2024-12-31,tmx,0.0,0.0
CPS,ok,1890.0,2015-01-02,2024-12-31,tmx,0.0,5.0
SPI,ok,1918.0,2015-01-02,2024-12-31,tmx,0.0,1.0
CAF,ok,1602.0,2015-01-07,2024-12-31,tmx,0.0,0.0
CVV,ok,2478.0,2015-01-02,2024-12-31,tmx,0.0,0.0
CEC,ok,2464.0,2015-01-02,2024-12-31,tmx,0.0,0.0
CLZ,ok,2040.0,2015-01-07,2023-12-07,tmx,0.0,1.0
CCEC,ok,44.0,2024-10-29,2024-12-31,tmx,0.0,0.0
CANX,ok,1659.0,2017-04-04,2024-12-31,tmx,0.0,0.0
CLV,ok,1714.0,2015-01-02,2024-12-31,tmx,0.0,2.0
WPR,ok,898.0,2021-06-03,2024-12-31,tmx,0.0,1.0
ROX,ok,1991.0,2015-01-05,2024-12-31,tmx,0.0,0.0
CTM,ok,1999.0,2015-01-05,2024-12-31,tmx,0.0,2.0
CD,ok,2292.0,2015-01-02,2024-12-31,tmx,0.0,6.0
CDA,ok,1991.0,2015-01-05,2024-12-31,tmx,0.0,0.0
CYF,ok,1424.0,2015-01-05,2024-12-31,tmx,0.0,8.0
CMIL,ok,1951.0,2015-01-05,2024-12-31,tmx,0.0,4.0
CAI,ok,1428.0,2015-01-12,2024-12-31,tmx,0.0,7.0
CAPT,ok,1073.0,2020-09-10,2024-12-31,tmx,0.0,0.0
EKG,ok,2199.0,2015-01-02,2024-12-31,tmx,0.0,13.0
CRB,ok,1664.0,2015-01-06,2024-12-31,tmx,0.0,3.0
CGD,ok,1582.0,2015-01-06,2024-12-31,tmx,0.0,10.0
CPI,ok,1709.0,2015-01-07,2024-12-31,tmx,0.0,1.0
RUSH,ok,2111.0,2015-01-05,2024-12-31,tmx,0.0,7.0
CCDS,empty,,,,,,
ECR,ok,2259.0,2015-01-06,2024-12-31,tmx,0.0,0.0
CASA,ok,1480.0,2016-03-18,2024-12-31,tmx,0.0,1.0
CCD,ok,2021.0,2015-01-05,2024-12-31,tmx,0.0,5.0
CAM,ok,365.0,2023-07-19,2024-12-31,tmx,0.0,0.0
GLDC,ok,2037.0,2015-01-05,2024-12-31,tmx,0.0,0.0
CBLT,ok,1852.0,2015-01-02,2024-12-31,tmx,0.0,6.0
CENT,empty,,,,,,
CTA,ok,2424.0,2015-01-02,2024-12-31,tmx,0.0,10.0
CIO,ok,1484.0,2015-01-02,2024-12-31,tmx,0.0,6.0
CTN,ok,1584.0,2015-01-05,2024-12-31,tmx,0.0,6.0
LCE,ok,2443.0,2015-01-02,2024-12-31,tmx,0.0,0.0
CERT,ok,905.0,2021-02-25,2024-12-31,tmx,0.0,0.0
CDPR,ok,1435.0,2018-10-18,2024-12-31,tmx,0.0,0.0
CFY,ok,2033.0,2015-01-02,2024-12-31,tmx,0.0,0.0
OYL,ok,2455.0,2015-01-02,2024-12-31,tmx,0.0,1.0
PERU,ok,1915.0,2015-01-07,2024-12-31,tmx,0.0,1.0
CBA,ok,1780.0,2015-01-02,2024-12-31,tmx,0.0,3.0
YES,ok,1576.0,2015-01-26,2024-12-31,tmx,0.0,2.0
CH,ok,669.0,2022-05-03,2024-12-31,tmx,0.0,0.0
CHER,empty,,,,,,
CKG,ok,2469.0,2015-01-02,2024-12-31,tmx,0.0,0.0
CBG,ok,1962.0,2015-01-02,2024-12-31,tmx,0.0,8.0
CMCG,empty,,,,,,
CRI,ok,871.0,2021-06-23,2024-12-31,tmx,0.0,0.0
CMC,ok,2258.0,2015-01-12,2024-12-31,tmx,0.0,6.0
AIR,ok,1157.0,2020-05-22,2024-12-31,tmx,0.0,0.0
TRAN,ok,2029.0,2015-01-02,2024-12-31,tmx,0.0,3.0
CSX,ok,2050.0,2015-01-02,2024-01-09,tmx,0.0,0.0
CTV,ok,710.0,2022-03-04,2024-12-31,tmx,0.0,0.0
CTEK,ok,788.0,2021-11-10,2024-12-31,tmx,0.0,0.0
CBLU,ok,1571.0,2018-07-19,2024-12-31,tmx,0.0,0.0
CZZ,ok,1175.0,2016-08-23,2024-12-31,tmx,0.0,2.0
CLIP,ok,653.0,2022-05-26,2024-12-31,tmx,0.0,0.0
COCO,ok,1585.0,2015-01-02,2024-12-31,tmx,0.0,2.0
CEI,ok,636.0,2022-06-20,2024-12-31,tmx,0.0,0.0
CBI,ok,1890.0,2015-01-07,2024-12-31,tmx,0.0,0.0
CAD,ok,2349.0,2015-01-02,2024-12-31,tmx,0.0,1.0
CLUS,ok,605.0,2022-08-04,2024-12-31,tmx,0.0,0.0
TIE,ok,1902.0,2015-01-02,2024-12-31,tmx,0.0,0.0
CMU,ok,1127.0,2015-01-05,2024-12-31,tmx,0.0,0.0
CLIC,ok,2132.0,2015-01-02,2024-12-31,tmx,0.0,1.0
CVB,ok,1595.0,2017-12-01,2024-12-31,tmx,0.0,1.0
CAG,ok,1150.0,2016-03-18,2024-12-31,tmx,0.0,8.0
CHS,ok,760.0,2019-05-09,2024-12-31,tmx,0.0,3.0
CNVI,ok,53.0,2024-10-16,2024-12-31,tmx,0.0,0.0
CN,ok,2150.0,2015-01-02,2024-12-31,tmx,0.0,0.0
COS,ok,199.0,2024-03-18,2024-12-31,tmx,0.0,0.0
CQR,ok,1770.0,2015-01-05,2024-12-31,tmx,0.0,6.0
FFP,ok,970.0,2015-02-17,2024-12-31,tmx,0.0,0.0
CNS,ok,1924.0,2015-01-02,2024-12-31,tmx,0.0,12.0
CPAU,ok,1882.0,2015-01-08,2024-12-31,tmx,0.0,11.0
CUU,ok,2498.0,2015-01-02,2024-12-31,tmx,0.0,0.0
CGNT,ok,1801.0,2015-01-19,2024-12-31,tmx,0.0,2.0
CPL,ok,1754.0,2015-01-02,2024-12-31,tmx,0.0,14.0
CRD,ok,1534.0,2015-01-09,2024-12-31,tmx,0.0,9.0
CPER,ok,747.0,2022-01-11,2024-12-31,tmx,0.0,0.0
CUEX,ok,221.0,2024-02-14,2024-12-31,tmx,0.0,0.0
CDB,ok,2384.0,2015-01-02,2024-12-31,tmx,0.0,0.0
CCMC,ok,1692.0,2015-01-12,2024-12-31,tmx,0.0,1.0
COSA,ok,303.0,2023-10-18,2024-12-31,tmx,0.0,0.0
CSG,ok,697.0,2015-01-05,2024-12-31,tmx,0.0,2.0
CTH,ok,1191.0,2015-01-02,2024-12-31,tmx,0.0,1.0
COV,ok,2365.0,2015-01-02,2024-12-31,tmx,0.0,0.0
CCMM,empty,,,,,,
CEQ,ok,1358.0,2015-01-02,2024-12-31,tmx,0.0,2.0
CRE,ok,2500.0,2015-01-02,2024-12-31,tmx,0.0,0.0
CRG,empty,,,,,,
CWV,ok,2095.0,2015-01-02,2024-12-31,tmx,0.0,2.0
CSTR,ok,1518.0,2017-09-18,2024-12-31,tmx,0.0,4.0
CLCO,ok,94.0,2024-08-16,2024-12-31,tmx,0.0,0.0
CVW,ok,2404.0,2015-01-02,2024-12-31,tmx,0.0,0.0
CYBE,ok,425.0,2023-04-24,2024-12-31,tmx,0.0,2.0
CYG,ok,1228.0,2019-01-24,2024-12-31,tmx,0.0,0.0
CYM,ok,2226.0,2015-01-02,2024-12-31,tmx,0.0,0.0
DTWO,ok,384.0,2023-06-21,2024-12-31,tmx,0.0,0.0
DAR,ok,1183.0,2015-02-10,2024-12-31,tmx,0.0,5.0
DM,ok,2042.0,2015-01-15,2024-12-31,tmx,0.0,18.0
DGC,empty,,,,,,
DTEA,ok,439.0,2023-04-03,2024-12-31,tmx,0.0,1.0
DEC,ok,2239.0,2015-01-02,2024-12-31,tmx,0.0,4.0
DB,ok,1753.0,2015-01-02,2024-12-31,tmx,0.0,12.0
WCSB,ok,1309.0,2015-01-02,2024-12-31,tmx,0.0,3.0
DE,ok,2365.0,2015-03-16,2024-12-31,tmx,0.0,0.0
DEFN,ok,1554.0,2018-02-20,2024-12-31,tmx,0.0,0.0
DEF,ok,2468.0,2015-01-02,2024-12-31,tmx,0.0,0.0
DFSC,ok,1073.0,2020-09-22,2024-12-31,tmx,0.0,1.0
DHB,ok,1925.0,2017-04-28,2024-12-31,tmx,0.0,1.0
DELX,ok,1417.0,2017-10-26,2024-12-31,tmx,0.0,2.0
DLTA,ok,2214.0,2015-01-02,2024-12-31,tmx,0.0,0.0
DAU,ok,2010.0,2015-01-07,2024-12-31,tmx,0.0,1.0
DME,ok,2173.0,2015-01-05,2024-12-31,tmx,0.0,4.0
DSY,ok,1835.0,2015-01-09,2024-12-31,tmx,0.0,0.0
GSD,ok,1541.0,2015-02-11,2024-12-31,tmx,0.0,2.0
DFR,ok,1867.0,2015-01-02,2024-12-31,tmx,0.0,9.0
ADK,ok,2418.0,2015-01-02,2024-12-31,tmx,0.0,0.0
DWS,ok,2324.0,2015-01-02,2024-12-31,tmx,0.0,0.0
DNO,ok,601.0,2022-08-10,2024-12-31,tmx,0.0,0.0
DOS,ok,2125.0,2015-01-05,2024-12-31,tmx,0.0,1.0
DCY,ok,1391.0,2015-01-05,2024-12-31,tmx,0.0,2.0
DCOP,ok,2106.0,2015-01-02,2024-12-31,tmx,0.0,14.0
DMX,ok,1792.0,2015-01-02,2024-12-31,tmx,0.0,7.0
DLC,ok,1048.0,2016-03-18,2024-12-31,tmx,0.0,6.0
DLP,ok,1102.0,2019-11-22,2024-12-31,tmx,0.0,0.0
DMGI,ok,1705.0,2016-01-29,2024-12-31,tmx,0.0,1.0
DMCU,ok,1555.0,2017-11-21,2024-12-31,tmx,0.0,6.0
DBG,ok,2376.0,2015-01-02,2024-12-31,tmx,0.0,0.0
DPF,ok,515.0,2022-12-12,2024-12-31,tmx,0.0,0.0
DRY,ok,253.0,2023-12-29,2024-12-31,tmx,0.0,0.0
DYG,ok,1872.0,2015-01-05,2024-12-31,tmx,0.0,8.0
ETL,ok,1985.0,2015-01-06,2024-12-31,tmx,0.0,5.0
EPL,ok,2392.0,2015-01-05,2024-12-31,tmx,0.0,0.0
SPOT,ok,1510.0,2017-08-24,2024-12-31,tmx,0.0,0.0
EWK,ok,1857.0,2015-01-08,2024-12-31,tmx,0.0,0.0
EAM,ok,2379.0,2015-01-02,2024-12-31,tmx,0.0,0.0
EW,ok,2115.0,2015-01-02,2024-12-31,tmx,0.0,0.0
ETF,ok,1841.0,2015-01-07,2024-12-31,tmx,0.0,0.0
EVI,empty,,,,,,
EBM,ok,1913.0,2015-01-28,2024-12-31,tmx,0.0,1.0
EOG,ok,2395.0,2015-01-02,2024-12-31,tmx,0.0,0.0
EDY,ok,681.0,2022-01-27,2024-12-31,tmx,0.0,1.0
CTRL,ok,738.0,2022-01-24,2024-12-31,tmx,0.0,0.0
YFI,ok,2375.0,2015-01-05,2024-12-31,tmx,0.0,2.0
EDDY,ok,2035.0,2015-01-02,2024-12-31,tmx,0.0,3.0
EDM,ok,1755.0,2015-10-08,2024-12-31,tmx,0.0,1.0
EGLT,empty,,,,,,
EGR,ok,1957.0,2015-01-02,2024-12-31,tmx,0.0,1.0
ERA,ok,2386.0,2015-01-02,2024-12-31,tmx,0.0,0.0
ELBM,ok,2004.0,2016-09-23,2024-12-31,tmx,0.0,0.0
EML,ok,1106.0,2015-01-02,2024-12-31,tmx,0.0,1.0
ELEC,ok,1123.0,2020-06-29,2024-12-31,tmx,0.0,0.0
ECU,ok,1011.0,2020-12-07,2024-12-31,tmx,0.0,0.0
ELM,ok,1531.0,2015-12-04,2024-12-31,tmx,0.0,4.0
SERV,empty,,,,,,
ELC,ok,2135.0,2015-07-15,2024-12-31,tmx,0.0,0.0
ECOM,ok,1015.0,2020-12-14,2024-12-31,tmx,0.0,0.0
EMR,ok,1953.0,2015-01-02,2024-12-31,tmx,0.0,3.0
EMO,ok,2039.0,2015-01-06,2024-12-31,tmx,0.0,0.0
EMNT,ok,1201.0,2015-01-06,2024-12-31,tmx,0.0,2.0
EMPR,ok,1006.0,2020-12-29,2024-12-31,tmx,0.0,0.0
ENA,ok,1958.0,2015-01-05,2024-12-31,tmx,0.0,6.0
EU,ok,2245.0,2015-01-05,2024-12-31,tmx,0.0,0.0
EDG,ok,1639.0,2015-01-02,2024-12-31,tmx,0.0,1.0
ENDR,ok,2397.0,2015-01-05,2024-12-31,tmx,0.0,0.0
ENEV,ok,1951.0,2015-01-15,2024-12-31,tmx,0.0,15.0
EAU,ok,1320.0,2018-06-26,2024-12-31,tmx,0.0,1.0
EGM,ok,2193.0,2015-01-02,2024-12-31,tmx,0.0,1.0
ENW,ok,2505.0,2015-01-02,2024-12-31,tmx,0.0,0.0
EQ,ok,2157.0,2015-01-05,2024-12-31,tmx,0.0,1.0
EQTY,ok,1977.0,2015-01-06,2024-12-31,tmx,0.0,13.0
NOVA,ok,1213.0,2019-05-23,2024-12-31,tmx,0.0,0.0
ERDA,ok,2310.0,2015-01-02,2024-12-31,tmx,0.0,0.0
EM,empty,,,,,,
ESBL,empty,,,,,,
ESK,ok,2365.0,2015-01-06,2024-12-31,tmx,0.0,0.0
ESXR,empty,,,,,,
EMN,ok,1373.0,2018-10-02,2024-12-31,tmx,0.0,0.0
EOX,ok,1858.0,2015-01-02,2024-12-31,tmx,0.0,4.0
EVNI,ok,771.0,2021-12-03,2024-12-31,tmx,0.0,0.0
EVNT,empty,,,,,,
EVGN,ok,856.0,2021-08-04,2024-12-31,tmx,0.0,0.0
EVER,ok,1307.0,2019-10-04,2024-12-31,tmx,0.0,1.0
EK,empty,,,,,,
EPF,ok,863.0,2020-10-19,2024-12-31,tmx,0.0,0.0
EXCL,empty,,,,,,
EXN,ok,2507.0,2015-01-02,2024-12-31,tmx,0.0,0.0
