ticker,name,tsxv_sector,gics_sector,industry,qm,shares_outstanding,market_cap,price
QNC,Quantum Emotion Corp.,Technology,Technology,Semiconductors and Equipment,Semiconductors,219419670.0,520024618.0,2.37
QZM,Quartz Mountain Resources Ltd.,Mining,Materials,Mining,Industrial Metals,74563883.0,32062470.0,0.43
QPT,Quest Pharmatech Inc.,Life Sciences,Healthcare,Biotechnology & Life Sciences,Biotechnology,169129247.0,3382585.0,0.02
QST,Questor Technology Inc.,Diversified Industries,Industrials,Industrial Goods,Waste & Pollution Control,27773123.0,9442862.0,0.34
QURI,Quri-Mayu Developments Ltd.,Mining,Materials,Mining,Industrial Metals,84502065.0,4647614.0,0.055
QYOU,Qyou Media Inc.,Diversified Industries,Media,Traditional Media,Entertainment,51903674.0,16090139.0,0.31
RAK,Rackla Metals Inc.,Mining,Materials,Mining,Gold,182449947.0,45612487.0,0.25
RDS,Radisson Mining Resources Inc.,Mining,Materials,Mining,Gold,457687123.0,565243597.0,1.235
RDU,Radius Gold Inc.,Mining,Materials,Mining,Gold,115754251.0,19678223.0,0.17
RMO,Rainy Mountain Royalty Corp.,Mining,Materials,Mining,Industrial Metals,26250178.0,2100015.0,0.08
RKV,Rakovina Therapeutics Inc.,Life Sciences,Healthcare,Biotechnology & Life Sciences,Biotechnology,24413627.0,5370998.0,0.22
RAMP,Ramp Metals Inc.,Mining,Materials,Mining,Gold,45789305.0,13049952.0,0.285
RNCH,Ranchero Gold Corp.,Mining,Materials,Mining,Gold,70628988.0,2472015.0,0.035
RTH,Rathdowney Resources Ltd.,Mining,Materials,Mining,Industrial Metals,254427450.0,10177098.0,0.04
RE,RE Royalties Ltd.,CleanTech,Energy,Renewable Energy Producers,Diversified Renewable Energy,43521967.0,16755958.0,0.385
XBOT,Realbotix Corp.,Technology,Technology,Hardware & Equipment,Computer Hardware & Peripheral Equipment,219938433.0,62682454.0,0.285
RGI,Reco International Group Inc.,Diversified Industries,Industrials,Construction,Engineering & Construction Services,49635635.0,496357.0,0.01
RECO,Reconnaissance Energy Africa Ltd.,Oil & Gas,Energy,Oil & Gas Exploration and Production,Oil & Gas Exploration and Production,386030450.0,250919793.0,0.65
REC,Record Resources Inc.,Oil & Gas,Energy,Oil & Gas Exploration and Production,Oil & Gas Exploration and Production,152896518.0,9173792.0,0.06
AMY,RecycLiCo Battery Materials Inc.,Mining,Materials,Mining,Industrial Metals,258994127.0,14244677.0,0.055
RFX,Reeflex Solutions Inc.,Oil & Gas,Energy,Oil & Gas Equipment & Services,Oil & Gas Equipment & Services,46901500.0,9380300.0,0.2
REE,ReeXploration Inc.,Mining,Materials,Mining,Industrial Metals,135229107.0,4733019.0,0.035
GIII,ReGen III Corp.,Oil & Gas,Energy,Oil & Gas Refining & Marketing,Oil & Gas Refining & Marketing,154722685.0,27850084.0,0.18
RSMX,Regency Silver Corp.,Mining,Materials,Mining,Silver,138026099.0,14492741.0,0.105
RPP,Regent Pacific Properties Inc,Diversified Industries,Real Estate,Real Estate,Real Estate Services,40039000.0,1201170.0,0.03
REG,Regulus Resources Inc.,Mining,Materials,Mining,Industrial Metals,125683393.0,637214803.0,5.07
RET,Reitmans (Canada) Limited,Diversified Industries,Consumer Discretionary,Retail - Discretionary,Apparel Retail & Accessories,13440000.0,30912000.0,2.3
RET.A,Reitmans (Canada) Limited Cl A,Diversified Industries,Consumer Discretionary,Retail - Discretionary,Apparel Retail & Accessories,13440000.0,30912000.0,2.3
MYID,Reklaim Ltd.,Technology,Technology,Software & IT Services,Application Software,130535809.0,28065199.0,0.215
REKO,Reko International Group Inc,Diversified Industries,Industrials,Industrial Machinery,Industrial Automation & Robotics,5484313.0,24679409.0,4.5
RGC,Relevant Gold Corp.,Mining,Materials,Mining,Gold,147140107.0,52234738.0,0.355
RAGE,Renegade Gold Inc.,Mining,Materials,Mining,Gold,42080288.0,14728101.0,0.35
RW,RenoWorks Software Inc,Technology,Technology,Software & IT Services,Application Software,40934634.0,9414966.0,0.23
RSS,Resaas Services Inc.,Technology,Technology,Software & IT Services,Application Software,84037002.0,40337761.0,0.48
RSM,Resouro Strategic Metals Inc.,Mining,Materials,Mining,Gold,108010049.0,25922412.0,0.24
REH,Responsible Energy Corporation,Diversified Industries,Industrials,Industrial Goods,Waste & Pollution Control,59706495.0,68662470.0,1.15
REVX,Rev Exploration Corp.,Mining,Materials,Mining,Gold,60360966.0,102613643.0,1.7
RVG,Revival Gold Inc.,Mining,Materials,Mining,Gold,319440099.0,293884892.0,0.92
OWN,Rex Resources Corp.,Mining,Materials,Mining,Industrial Metals,18173095.0,1362983.0,0.075
RMD,Richmond Minerals Inc.,Mining,Materials,Mining,Precious Metals,36213387.0,3259205.0,0.09
RDG,Ridgeline Minerals Corp.,Mining,Materials,Mining,Gold,144204267.0,35330046.0,0.245
RMI,Ridgestone Mining Inc.,Mining,Materials,Mining,Industrial Metals,15551235.0,1866149.0,0.12
RLYG,Riley Gold Corp.,Mining,Materials,Mining,Precious Metals,48860281.0,37622417.0,0.77
RYO,Rio Silver Inc.,Mining,Materials,Mining,Industrial Metals,60257201.0,22596451.0,0.375
RRRL,River Road Resources Ltd.,Mining,Materials,Mining,Industrial Metals,11483334.0,1722501.0,0.15
RRI,Riverside Resources Inc.,Mining,Materials,Mining,Precious Metals,93723464.0,40301090.0,0.43
RIWI,RIWI Corp.,Technology,Technology,Software & IT Services,Application Software,26726648.0,3608098.0,0.135
ROB,Robinson Energy Limited,Oil & Gas,Energy,Oil & Gas Exploration and Production,Oil & Gas Exploration and Production,1733375.0,6933500.0,4.0
RCT,Rochester Resources Ltd.,Mining,Materials,Mining,Gold,48044125.0,10569708.0,0.22
RCK,Rock Tech Lithium Inc.,Mining,Materials,Mining,Industrial Metals,120117631.0,79277637.0,0.66
RK,Rockhaven Resources Ltd,Mining,Materials,Mining,Precious Metals,292803137.0,54168581.0,0.185
RUM,Rocky Mountain Liquor Inc.,Diversified Industries,Consumer Discretionary,Retail - Discretionary,Specialty Retailers,47827775.0,3347945.0,0.07
ROK,ROK Resources Inc.,Oil & Gas,Energy,Oil & Gas Exploration and Production,Oil & Gas Exploration and Production,218830480.0,88626345.0,0.405
RKR,Rokmaster Resources Corp.,Mining,Materials,Mining,Industrial Metals,199340478.0,7973620.0,0.04
RME,Roland Mineral Enterprises Corp.,Mining,Materials,Mining,Industrial Metals,159314162.0,37438829.0,0.235
ROS,Roscan Gold Corporation,Mining,Materials,Mining,Gold,438514705.0,92088089.0,0.21
RTE,Route 109 Resources Inc.,Mining,Materials,Mining,Gold,16759889.0,1340792.0,0.08
ROI,Route1 Inc.,Technology,Technology,Software & IT Services,Application Software,46873821.0,5624859.0,0.12
RYR,Royal Road Minerals Limited,Mining,Materials,Mining,Gold,331243324.0,66248665.0,0.2
RPX,RPX Gold Inc.,Mining,Materials,Mining,Gold,445990025.0,80278205.0,0.18
RTM,RT Minerals Corp.,Mining,Materials,Mining,Industrial Metals,11463175.0,401212.0,0.035
ROMJ,Rubicon Organics Inc.,Life Sciences,Healthcare,Pharmaceuticals,Pharmaceutical Manufacturers - Cannabis,67578916.0,33113669.0,0.49
