ticker,name,tsxv_sector,gics_sector,industry,qm,shares_outstanding,market_cap,price
STUD,Stallion Uranium Corp.,CleanTech,Energy,Other Energy Sources,Uranium,150132530.0,21769217.0,0.145
SDI,Stampede Drilling Inc.,Oil & Gas,Energy,Oil & Gas Drilling,Oil & Gas Drilling,199941595.0,45986567.0,0.23
STMP,Stamper Oil & Gas Corp.,Oil & Gas,Energy,Oil & Gas Exploration and Production,Oil & Gas Exploration and Production,120192051.0,8413444.0,0.07
SLI,Standard Lithium Ltd.,Mining,Materials,Mining,Industrial Metals,246411248.0,850118806.0,3.45
STND,Standard Uranium Ltd.,CleanTech,Energy,Other Energy Sources,Uranium,159475607.0,11960671.0,0.075
ZIGY,Stardust Metal Corp.,Mining,Materials,Mining,Gold,45230783.0,82320026.0,1.82
SUN,Stardust Solar Energy Inc.,CleanTech,Energy,Renewable Energy Producers,Solar Energy,110793557.0,5539678.0,0.05
STE,Starr Peak Mining Ltd.,Mining,Materials,Mining,Industrial Metals,60125752.0,21645271.0,0.36
SPX,Stellar AfricaGold Inc.,Mining,Materials,Mining,Gold,64970784.0,7146787.0,0.11
SAG,Sterling Metals Corp.,Mining,Materials,Mining,Industrial Metals,46251162.0,57813953.0,1.25
PGE,Stillwater Critical Minerals Corp.,Mining,Materials,Mining,Industrial Metals,312391379.0,142138078.0,0.455
STW,Stockworks Gold Inc.,Mining,Materials,Mining,Gold,21015493.0,1996472.0,0.095
STRM,Storm Exploration Inc.,Mining,Materials,Mining,Precious Metals,28563944.0,14567612.0,0.51
SGE,Strategem Capital Corporation,Diversified Industries,Finance,Asset Management Services,Asset Management Services,9114028.0,6835521.0,0.75
SMD,Strategic Metals Ltd.,Mining,Materials,Mining,Industrial Metals,111055967.0,38314309.0,0.345
SR,Strategic Resources Inc.,Mining,Materials,Mining,Industrial Metals,59027995.0,19479239.0,0.33
SKP,Strikepoint Gold Inc.,Mining,Materials,Mining,Precious Metals,62392382.0,10294744.0,0.165
SKK,Strikewell Energy Corp,Oil & Gas,Energy,Oil & Gas Exploration and Production,Oil & Gas Exploration and Production,8626862.0,992090.0,0.115
SDR,Stroud Resources Ltd.,Oil & Gas,Energy,Oil & Gas Exploration and Production,Oil & Gas Exploration and Production,63623199.0,11452176.0,0.18
STUV,Stuve Gold Corp.,Mining,Materials,Mining,Industrial Metals,41766159.0,21718403.0,0.52
SUGR,Sucro Limited,Diversified Industries,Consumer Staples,Consumer Products - Foods,Sugar & Confectioners,11107999.0,100305231.0,9.03
SUM,Summit Royalties Ltd.,Mining,Materials,Mining,Precious Metals,103615699.0,152315078.0,1.47
PEAK,Sun Peak Metals Corp.,Mining,Materials,Mining,Precious Metals,164442196.0,71532356.0,0.435
SMN,Sun Summit Minerals Corp.,Mining,Materials,Mining,Industrial Metals,320560093.0,46481214.0,0.145
SPZ,SuperBuzz Inc.,Technology,Technology,Software & IT Services,Application Software,20146128.0,503654.0,0.025
SUI,Superior Mining International Corporation,Mining,Materials,Mining,Industrial Metals,78373048.0,2351192.0,0.03
NILI,Surge Battery Metals Inc.,Mining,Materials,Mining,Industrial Metals,314176537.0,317318303.0,1.01
SURG,Surge Copper Corp.,Mining,Materials,Mining,Industrial Metals,388064483.0,273585461.0,0.705
SRGE,Surge Digital Inc.,Diversified Industries,Finance,Capital Markets,Cryptocurrency Exchanges & Trading Platforms,50825831.0,19313816.0,0.38
SYG,Sylla Gold Corp.,Mining,Materials,Mining,Gold,107297832.0,4828403.0,0.045
ESAF,Syntholene Energy Corp.,CleanTech,Energy,Renewable Energy Producers,Diversified Renewable Energy,82638274.0,31402545.0,0.38
TWO,T2 Metals Corp.,Mining,Materials,Mining,Copper,62788808.0,23231859.0,0.37
TAO,TAG Oil Ltd.,Oil & Gas,Energy,Oil & Gas Exploration and Production,Oil & Gas Exploration and Production,341756692.0,32466886.0,0.095
TAJ,Tajiri Resources Corp.,Mining,Materials,Mining,Gold,264882638.0,50327702.0,0.19
TRO,Taranis Resources Inc.,Mining,Materials,Mining,Industrial Metals,104452053.0,12534247.0,0.12
TDG,TDG Gold Corp.,Mining,Materials,Mining,Industrial Metals,280986512.0,137683391.0,0.49
TECT,Tectonic Metals Inc.,Mining,Materials,Mining,Gold,134734053.0,316625025.0,2.35
TELO,Telo Genomics Corp.,Life Sciences,Healthcare,Medical Diagnostics & Screening,Diagnostics & Screening,100430472.0,4017219.0,0.04
TNX,TenX Protocols Inc.,Diversified Industries,Finance,Capital Markets,Cryptocurrency Exchanges & Trading Platforms,63577562.0,6993532.0,0.11
TRR,Terra Rossa Gold Ltd.,Mining,Materials,Mining,Gold,73742203.0,25441061.0,0.345
TES,Tesoro Minerals Corp.,Mining,Materials,Mining,Gold,41444326.0,4558876.0,0.11
TPL,Tethys Petroleum Limited,Oil & Gas,Energy,Oil & Gas Exploration and Production,Oil & Gas Exploration and Production,114857248.0,142422988.0,1.24
TUO,Teuton Resources Corp,Mining,Materials,Mining,Precious Metals,59871881.0,101782198.0,1.7
TGX,TGX Energy & Resources Inc.,Mining,Materials,Mining,Precious Metals,12392450.0,6320150.0,0.51
FRSH,The Fresh Factory B.C. Ltd.,Diversified Industries,Consumer Staples,Consumer Products - Foods,"Canned, Frozen & Preserved Foods",10480577.0,9432520.0,0.9
FTRC,The FUTR Corporation,Technology,Technology,Software & IT Services,Systems Software,152422120.0,21339097.0,0.14
WED,The Westaim Corporation,Diversified Industries,Finance,Asset Management Services,Asset Management Services,33551508.0,637814168.0,19.01
WI,The Western Investment Company of Canada Limited,Diversified Industries,Finance,Asset Management Services,Asset Management Services,167062008.0,178756349.0,1.07
TLT,Theralase Technologies Inc.,Life Sciences,Healthcare,Medical Equipment & Supplies,Surgical & Medical Apparatus,257058334.0,48841084.0,0.19
THRM,Therma Bright Inc.,Life Sciences,Healthcare,Medical Equipment & Supplies,Surgical & Medical Apparatus,61246628.0,2756099.0,0.045
TMG,Thermal Energy International Inc.,Diversified Industries,Industrials,Industrial Goods,Waste & Pollution Control,173114305.0,26832718.0,0.155
TAU,Thesis Gold & Silver Inc.,Mining,Materials,Mining,Precious Metals,279569682.0,1009246553.0,3.61
TTI,"Thiogenesis Therapeutics, Corp.",Life Sciences,Healthcare,Biotechnology & Life Sciences,Biotechnology,69979656.0,36389422.0,0.52
TRCG,Thistle Resources Inc.,Mining,Materials,Mining,Industrial Metals,60658093.0,13648071.0,0.225
THX,Thor Explorations Ltd,Mining,Materials,Mining,Gold,666573136.0,919870928.0,1.38
TCCM,Three Crowns Critical Metals Inc.,Mining,Materials,Mining,Industrial Metals,6581489.0,3027485.0,0.46
YAY,THS Maple Holdings Ltd.,Diversified Industries,Consumer Staples,Consumer Products - Foods,"Canned, Frozen & Preserved Foods",60999100.0,7624888.0,0.125
TGOL,Thunder Gold Corp.,Mining,Materials,Mining,Industrial Metals,319162121.0,56651277.0,0.1775
THM,"Thunder Mountain Gold, Inc.",Mining,Materials,Mining,Precious Metals,83255579.0,101571807.0,1.22
BIRD,Thunderbird Minerals Corp.,Mining,Materials,Mining,Precious Metals,54318036.0,9777247.0,0.18
AWE,Thunderstruck Resources Ltd.,Mining,Materials,Mining,Industrial Metals,71071206.0,10660681.0,0.15
TSLV,Tier One Silver Inc.,Mining,Materials,Mining,Precious Metals,258732856.0,20698629.0,0.08
TNGD,Tiernan Gold Corp.,Mining,Materials,Mining,Gold,48215944.0,384281074.0,7.97
TIGR,Tiger Gold Corp.,Mining,Materials,Mining,Gold,105676498.0,94052084.0,0.89
TK,Tinka Resources Limited,Mining,Materials,Mining,Industrial Metals,133772553.0,65548551.0,0.49
TORC,Tinone Resources Inc.,Mining,Materials,Mining,Industrial Metals,21890585.0,1094530.0,0.05
TTS,Tintina Mines Ltd.,Mining,Materials,Mining,Industrial Metals,149644251.0,404039478.0,2.7
TLA,Titan Logix Corp.,Diversified Industries,Industrials,Industrial Goods,Specialized Industrial Machinery,26794724.0,13933257.0,0.52
TITI,Titiminas Silver Inc.,Mining,Materials,Mining,Silver,37340773.0,31739658.0,0.85
TNR,TNR Gold Corp.,Mining,Materials,Mining,Industrial Metals,243981780.0,70754717.0,0.29
LOT,TomaGold Corporation,Mining,Materials,Mining,Gold,312299193.0,10930472.0,0.035
TBLL,Tombill Mines Limited,Mining,Materials,Mining,Gold,292453997.0,16084970.0,0.055
TGC,TooGood Gold Corp.,Mining,Materials,Mining,Gold,87554678.0,8755468.0,0.1
TOI,Topicus.com Inc.,Technology,Technology,Software & IT Services,Systems Software,83528873.0,7975336795.0,95.48
TORQ,Torq Resources Inc.,Mining,Materials,Mining,Industrial Metals,185897146.0,11153829.0,0.06
TMET,Torr Metals Inc.,Mining,Materials,Mining,Industrial Metals,84024953.0,11343369.0,0.135
TORR,Torrent Capital Ltd.,Diversified Industries,Finance,Asset Management Services,Asset Management Services,38090224.0,23615939.0,0.62
TT,Total Metals Corp.,Mining,Materials,Mining,Gold,59315766.0,12159733.0,0.205
TTZ,Total Telcom Inc.,Technology,Technology,Hardware & Equipment,Communications Equipment,26563015.0,14609659.0,0.55
TOTC,Totec Resources Ltd.,Mining,Materials,Mining,Industrial Metals,38645525.0,23187315.0,0.6
TWR,Tower Resources Ltd.,Mining,Materials,Mining,Industrial Metals,183282352.0,27492353.0,0.15
TBK,Trailbreaker Resources Ltd.,Mining,Materials,Mining,Gold,53339834.0,25603121.0,0.48
TTG,Trans Canada Gold Corp.,Oil & Gas,Energy,Oil & Gas Exploration and Production,Oil & Gas Exploration and Production,58729839.0,12333267.0,0.21
TCO,Transatlantic Mining Corp.,Mining,Materials,Mining,Industrial Metals,86639916.0,4331996.0,0.05
XTM,Transition Metals Corp.,Mining,Materials,Mining,Industrial Metals,87466826.0,5248010.0,0.06
OCEN,Transoceanic Investments Inc.,Mining,Materials,Mining,Industrial Metals,169292585.0,10157556.0,0.06
TRS,Tres-Or Resources Ltd.,Mining,Materials,Mining,Precious Metals,25233863.0,1387863.0,0.055
TRBE,Tribe Property Technologies Inc.,Diversified Industries,Real Estate,Real Estate,Real Estate Services,50020740.0,10004148.0,0.2
TRBC,Tribeca Resources Corporation,Mining,Materials,Mining,Copper,97437779.0,22897879.0,0.235
ROCK,Trident Resources Corp.,Mining,Materials,Mining,Industrial Metals,39889873.0,182296720.0,4.57
TG,Trifecta Gold Ltd.,Mining,Materials,Mining,Gold,56451721.0,9879052.0,0.175
TOM,Trinity One Metals Ltd.,Mining,Materials,Mining,Copper,67234879.0,12774628.0,0.19
TSG,TriStar Gold Inc.,Mining,Materials,Mining,Gold,397541940.0,83483808.0,0.21
TIG,Triumph Gold Corp.,Mining,Materials,Mining,Industrial Metals,72128762.0,54096572.0,0.75
TR,Troubadour Resources Inc.,Mining,Materials,Mining,Industrial Metals,7006857.0,840823.0,0.12
TRU,TRU Precious Metals Corp.,Mining,Materials,Mining,Gold,164421818.0,6576873.0,0.04
TBIX,Trustbix Inc.,Technology,Technology,Software & IT Services,Application Software,139209330.0,696047.0,0.005
TSD,Tsodilo Resources Limited,Mining,Materials,Mining,Precious Metals,66678963.0,5334318.0,0.08
TUD,Tudor Gold Corp.,Mining,Materials,Mining,Gold,412304158.0,408181117.0,0.99
TUK,Tuktu Resources Ltd.,Oil & Gas,Energy,Oil & Gas Exploration and Production,Oil & Gas Exploration and Production,265563548.0,5311271.0,0.02
TTGI,Turnium Technology Group Inc.,Technology,Technology,Software & IT Services,Systems Software,213105657.0,8524227.0,0.04
TVI,Tvi Pacific Inc.,Mining,Materials,Mining,Industrial Metals,728587039.0,32786417.0,0.045
MILE,Twenty Mile Metals Inc.,Mining,Materials,Mining,Industrial Metals,10200000.0,1224000.0,0.12
UTWO,U92 Energy Corp.,CleanTech,Energy,Other Energy Sources,Uranium,44891418.0,17507654.0,0.39
UCU,Ucore Rare Metals Inc.,Mining,Materials,Mining,Industrial Metals,117117586.0,302163372.0,2.58
UGD,Unigold Inc.,Mining,Materials,Mining,Gold,339303817.0,81432917.0,0.24
USS,Uniserve Communications Corporation,Diversified Industries,Media,Telecommunications,Telecommunication Services,42086517.0,31564888.0,0.75
UIG,Urban Infrastructure Group Inc.,Diversified Industries,Industrials,Construction,Engineering & Construction Services,104512917.0,3135388.0,0.03
UFC,Urbanfund Corp.,Diversified Industries,Real Estate,Real Estate,Diversified Real Estate Activities,53960669.0,46945783.0,0.87
URZ,URZ3 Energy Corp.,CleanTech,Energy,Other Energy Sources,Uranium,52327795.0,10727198.0,0.205
USCU,US Copper Corp.,Mining,Materials,Mining,Copper,160327961.0,21644275.0,0.135
USHA,Usha Resources Ltd.,Mining,Materials,Mining,Industrial Metals,92231586.0,4150422.0,0.045
VTEN,V Ten Metals Corp.,Mining,Materials,Mining,Industrial Metals,25609138.0,20999494.0,0.82
VZZ,Val-d'Or Mining Corporation,Mining,Materials,Mining,Industrial Metals,108390738.0,26555731.0,0.245
VMXX,Valhalla Metals Inc.,Mining,Materials,Mining,Industrial Metals,151140901.0,114867085.0,0.76
OZ,Valkea Resources Corp.,Mining,Materials,Mining,Gold,85990967.0,28377020.0,0.33
VO,Valore Metals Corp.,CleanTech,Energy,Other Energy Sources,Uranium,254954066.0,17846785.0,0.07
VRB,Vanadiumcorp Resource Inc.,Mining,Materials,Mining,Industrial Metals,26414878.0,2113191.0,0.08
VCV,Vatic Ventures Corp,Mining,Materials,Mining,Industrial Metals,41351394.0,3101355.0,0.075
KNOX,Vault Strategic Mining Corp.,Mining,Materials,Mining,Precious Metals,15428495.0,3857124.0,0.25
VXL,Vaxil Bio Ltd.,Life Sciences,Healthcare,Biotechnology & Life Sciences,Biotechnology,3984021.0,637444.0,0.16
PAIN,Vector Science and Therapeutics Corp.,Life Sciences,Healthcare,Biotechnology & Life Sciences,Biotechnology,156364180.0,323673853.0,2.07
VLC,Velocity Minerals Ltd.,Mining,Materials,Mining,Gold,204632857.0,38880243.0,0.19
VLX,Velox Energy Materials Inc.,Mining,Materials,Mining,Industrial Metals,178592544.0,4464814.0,0.025
VTT,Vendetta Mining Corp,Mining,Materials,Mining,Industrial Metals,362689057.0,5440336.0,0.015
VENT,Ventra Metals Corp.,Mining,Materials,Mining,Industrial Metals,16172328.0,2911020.0,0.18
VPT,VentriPoint Diagnostics Ltd.,Life Sciences,Healthcare,Medical Equipment & Supplies,Surgical & Medical Apparatus,192777941.0,19277795.0,0.1
V,Verdera Energy Corp.,CleanTech,Energy,Other Energy Sources,Uranium,75757993.0,29166828.0,0.385
VTX,Vertex Resource Group Ltd.,Diversified Industries,Industrials,Waste Management,Waste Management,112026890.0,19044572.0,0.17
VERT,Vertical Exploration Inc.,Mining,Materials,Mining,Industrial Metals,152904053.0,3822602.0,0.025
VLD,Vinland Lithium Inc.,Mining,Materials,Mining,Industrial Metals,10055252.0,4424311.0,0.44
VIO,Vior Gold Corporation Inc.,Mining,Materials,Mining,Gold,416229979.0,41622998.0,0.1
VQS,VIQ Solutions Inc.,Technology,Technology,Software & IT Services,Application Software,70462155.0,8807770.0,0.125
VML,Viscount Mining Corp.,Mining,Materials,Mining,Precious Metals,134898623.0,65425833.0,0.485
VGD,Visible Gold Mines Inc.,Mining,Materials,Mining,Gold,38655164.0,6378103.0,0.165
VLI,Vision Lithium Inc.,Mining,Materials,Mining,Industrial Metals,293019151.0,4395288.0,0.015
VCG,Visionary Copper and Gold Mines Inc.,Mining,Materials,Mining,Industrial Metals,23788839.0,37110589.0,1.56
VIZ,Visionary Metals Corp.,Mining,Materials,Mining,Precious Metals,68301176.0,14343247.0,0.21
VIS,Visionstate Corp.,Technology,Technology,Software & IT Services,IT Services,258326335.0,5166527.0,0.02
VUX,Vital Energy Inc.,Oil & Gas,Energy,Oil & Gas Exploration and Production,Oil & Gas Exploration and Production,82699971.0,9923997.0,0.12
VITA,Vitalist Inc.,Technology,Technology,Hardware & Equipment,Consumer Electronics,66763533.0,38722850.0,0.58
VPI,Vitality Products Inc.,Life Sciences,Consumer Staples,Consumer Products - Healthcare,Consumer Healthcare Products,41411285.0,828226.0,0.02
VCI,Vitreous Glass Inc,Diversified Industries,Industrials,Waste Management,Waste Management,6356050.0,44174548.0,6.95
VAU,Viva Gold Corp.,Mining,Materials,Mining,Gold,172107102.0,38724098.0,0.225
VCU,Vizsla Copper Corp.,Mining,Materials,Mining,Copper,90129468.0,141503265.0,1.57
VROY,Vizsla Royalties Corp.,Mining,Materials,Mining,Precious Metals,71158498.0,307404712.0,4.32
VG,Volcanic Gold Mines Inc.,Mining,Materials,Mining,Gold,59419542.0,6239052.0,0.105
VCT,Volt Carbon Technologies Inc.,Mining,Materials,Mining,Industrial Metals,303702222.0,18222134.0,0.06
VMS,Vortex Metals Inc.,Mining,Materials,Mining,Precious Metals,135359168.0,5414367.0,0.04
VM,Voyageur Pharmaceuticals Ltd.,Life Sciences,Healthcare,Pharmaceuticals,Pharmaceutical Manufacturers - Specialty & Generic,226342352.0,37346489.0,0.165
VRR,VR Resources Ltd.,Mining,Materials,Mining,Industrial Metals,39785279.0,16908744.0,0.425
VUL,Vulcan Minerals Inc,Mining,Materials,Mining,Industrial Metals,129902398.0,53259984.0,0.41
VVTM,VVT Med Inc.,Life Sciences,Healthcare,Medical Equipment & Supplies,Surgical & Medical Apparatus,72687346.0,13810596.0,0.19
WRR,Walker River Resources Corp.,Mining,Materials,Mining,Gold,62782862.0,19462688.0,0.31
WWT,Water Ways Technologies Inc.,Diversified Industries,Industrials,Industrial Machinery,Agricultural & Heavy Equipment,14878533.0,371964.0,0.025
WAVE,Waverley Pharma Inc.,Life Sciences,Healthcare,Biotechnology & Life Sciences,Biotechnology,54000000.0,810000.0,0.015
WML,Wealth Minerals Ltd,Mining,Materials,Mining,Industrial Metals,381938191.0,30555056.0,0.08
WCE,Wescan Energy Corp.,Oil & Gas,Energy,Oil & Gas Exploration and Production,Oil & Gas Exploration and Production,45147958.0,5869235.0,0.13
WGF,Wescan Goldfields Inc.,Mining,Materials,Mining,Gold,77118557.0,13110155.0,0.17
WHY,West High Yield (W.H.Y.) Resources Ltd,Mining,Materials,Mining,Industrial Metals,124961789.0,37488537.0,0.3
WPG,West Point Gold Corp.,Mining,Materials,Mining,Precious Metals,137475762.0,204838886.0,1.49
WRLG,West Red Lake Gold Mines Ltd.,Mining,Materials,Mining,Gold,413947977.0,360134740.0,0.87
WVM,West Vault Mining Inc.,Mining,Materials,Mining,Gold,58075566.0,112085843.0,1.93
WBE,WestBond Enterprises Corporation,Diversified Industries,Materials,Forestry,Paper Products,35625800.0,9262708.0,0.26
WEB,Westbridge Renewable Energy Corp.,Diversified Industries,Utilities,Independent Power Producers,Independent Power Producers,26297463.0,28664235.0,1.09
WEX,Western Exploration Inc.,Mining,Materials,Mining,Precious Metals,62427269.0,36832089.0,0.59
WGLD,Western Gold Exploration Ltd.,Mining,Materials,Mining,Gold,42481573.0,5097789.0,0.12
WMS,Western Metallica Resources Corp.,Mining,Materials,Mining,Gold,2812060.0,351508.0,0.125
WP,Western Pacific Trust Company,Diversified Industries,Finance,Asset Management Services,Asset Management Services,26293558.0,3812566.0,0.145
WGT,Westgate Energy Inc.,Oil & Gas,Energy,Oil & Gas Exploration and Production,Oil & Gas Exploration and Production,79315702.0,20622083.0,0.26
WHN,Westhaven Gold Corp.,Mining,Materials,Mining,Gold,261489718.0,100673542.0,0.385
WGO,White Gold Corp.,Mining,Materials,Mining,Gold,223007988.0,508458213.0,2.28
WMK,Whitemud Resources Inc,Mining,Materials,Mining,Industrial Metals,34026300.0,4933814.0,0.145
YTY,Wi2Wi Corporation,Technology,Technology,Hardware & Equipment,Communications Equipment,198233013.0,17840972.0,0.09
WSK,Wildsky Resources Inc.,Mining,Materials,Mining,Gold,56243141.0,7874040.0,0.14
WIL,Wilton Resources Inc,Oil & Gas,Energy,Oil & Gas Exploration and Production,Oil & Gas Exploration and Production,81770679.0,19624963.0,0.24
WEC,Winchester Equity Corporation,Diversified Industries,Finance,Asset Management Services,Asset Management Services,112463854.0,1686958.0,0.015
WINS,Winshear Metals Corp.,Mining,Materials,Mining,Gold,69451965.0,6945197.0,0.1
WISH,Wishpond Technologies Ltd.,Technology,Technology,Software & IT Services,Application Software,54976149.0,7696661.0,0.14
WLF,Wolfden Resources Corporation,Mining,Materials,Mining,Industrial Metals,189817648.0,13287236.0,0.07
WCU,World Copper Ltd.,Mining,Materials,Mining,Copper,13151545.0,2367279.0,0.18
XGC,Xali Gold Corp.,Mining,Materials,Mining,Precious Metals,169316474.0,38096207.0,0.225
GIG,XAU Resources Inc.,Mining,Materials,Mining,Gold,16761500.0,8380750.0,0.5
XIM,Ximen Mining Corp.,Mining,Materials,Mining,Gold,70466465.0,5284985.0,0.075
XPLR,Xplore Resources Corp.,Mining,Materials,Mining,Industrial Metals,52601505.0,1315038.0,0.025
XXIX,XXIX Metal Corp.,Mining,Materials,Mining,Copper,419033481.0,77521194.0,0.185
XL,XXL Energy Corp,Oil & Gas,Energy,Oil & Gas Exploration and Production,Oil & Gas Exploration and Production,7252943.0,1015413.0,0.14
YOO,Yangaroo Inc.,Diversified Industries,Media,Interactive Multi-Media,Online Content & Information,63576462.0,6357647.0,0.1
YNV,Ynvisible Interactive Inc.,Technology,Technology,Hardware & Equipment,Electronic Parts & Equipment Manufacture,164506317.0,12337974.0,0.075
YEG,Yorkton Equity Group Inc.,Diversified Industries,Real Estate,Real Estate,Diversified Real Estate Activities,112628074.0,11825948.0,0.105
ZAC,Zacatecas Silver Corp.,Mining,Materials,Mining,Silver,218898476.0,14228401.0,0.065
ZBNI,ZEB Nickel Corp.,Mining,Materials,Mining,Industrial Metals,55653930.0,4452315.0,0.08
ZDC,Zedcor Inc.,Diversified Industries,Industrials,Corporate Services,Security Services,112789397.0,554923834.0,4.92
ZEN,Zentek Ltd.,Life Sciences,Healthcare,Medical Equipment & Supplies,Medical  Supplies,126619532.0,98763235.0,0.78
ZFR,Zephyr Minerals Ltd.,Mining,Materials,Mining,Gold,92836985.0,4641850.0,0.05
ZCT,Zero Candida Technologies Inc.,Life Sciences,Healthcare,Medical Equipment & Supplies,Surgical & Medical Apparatus,19627856.0,2944179.0,0.15
ZC,Zimtu Capital Corp.,Diversified Industries,Finance,Asset Management Services,Asset Management Services,17119873.0,7532745.0,0.44
ZNX,Zincx Resources Corp.,Mining,Materials,Mining,Industrial Metals,187896141.0,44155594.0,0.235
ZAU,Zodiac Gold Inc.,Mining,Materials,Mining,Gold,184530826.0,60895173.0,0.33
ZONE,Zonetail Inc.,Technology,Technology,Software & IT Services,Application Software,327565907.0,3275660.0,0.01
ZON,Zonte Metals Inc.,Mining,Materials,Mining,Gold,85104105.0,11063534.0,0.13
ZMA,ZoomAway Technologies Inc.,Diversified Industries,Consumer Discretionary,"Hotels, Lodging & Leisure",Travel & Tourism,19331032.0,1353173.0,0.07
ZOMD,Zoomd Technologies Ltd.,Technology,Technology,Software & IT Services,Application Software,101153059.0,44507346.0,0.44
