measure,horizon_m,split,n_dates,b_illiq,t_illiq,b_size,t_size,mean_n_per_date
illiq,6,train,102,0.2338548829450358,9.505691450737753,-0.04752577067600873,-4.253893220494426,543.1274509803922
illiq,6,holdout,102,0.18520604420881243,5.7558086788889975,-0.043697443304719676,-3.7827704506491906,223.0
illiq,12,train,96,0.4838598601291597,5.019713071897339,-0.08647193728237988,-2.189848332040472,528.3541666666666
illiq,12,holdout,96,0.39396922314012556,7.668319199122336,-0.08524262618984985,-2.69721362425942,216.30208333333334
illiq,24,train,84,0.7110683324512388,4.089848458103067,-0.15021644373298643,-2.232367574631481,495.0
illiq,24,holdout,84,0.6362624745329639,6.9499883494430055,-0.17424170874437536,-2.4872291458001143,201.86904761904762
zero_ret_pct,6,train,102,0.13417894205585942,3.264887890472685,-0.06898106464511194,-6.902197607413409,544.3333333333334
zero_ret_pct,6,holdout,102,0.14626312701549324,2.9397880971147816,-0.05578624530924805,-6.17811021619229,223.63725490196077
zero_ret_pct,12,train,96,0.19141358996211982,3.5719600723364238,-0.14043572279181182,-3.985602841534825,529.25
zero_ret_pct,12,holdout,96,0.3155122418088259,2.627027553936387,-0.1118474830542815,-5.167369825170076,216.875
zero_ret_pct,24,train,84,0.0792263839381821,1.2189108907711272,-0.24962255516439208,-4.034375572262852,495.5
zero_ret_pct,24,holdout,84,0.20204349980830894,1.7181481584355685,-0.2489758424201513,-4.436190457995835,202.0952380952381
cs_spread,6,train,102,-0.04079234789645589,-1.47361084685674,-0.07953995369524822,-6.3083294575411335,536.0784313725491
cs_spread,6,holdout,102,-0.007216254770858482,-0.1313831247536067,-0.07108924029692201,-6.717415470774959,219.0686274509804
cs_spread,12,train,96,-0.07765446064863336,-1.2719185616196444,-0.15460489087100693,-4.002435721065935,522.6041666666666
cs_spread,12,holdout,96,0.09551243980124713,0.8044983750895903,-0.144067612100345,-4.447834962005435,213.27083333333334
cs_spread,24,train,84,-0.08603487067781593,-1.2846537281955792,-0.2507156071034255,-3.9563244352038662,492.04761904761904
cs_spread,24,holdout,84,0.20855060382880353,1.3904801996276115,-0.2688859235712594,-4.005309225040644,200.38095238095238
