scenario,measure,horizon_m,split,Q5_minus_Q1,nw_t,n_dates
carry_forward,illiq,6,holdout,0.23779453861840433,7.45493421995123,102
carry_forward,illiq,12,holdout,0.43443702669178885,6.557016996608792,96
carry_forward,illiq,24,holdout,0.6730425008767755,6.284752746484765,84
carry_forward,zero_ret_pct,6,holdout,0.1792735419822453,6.267807222300465,102
carry_forward,zero_ret_pct,12,holdout,0.33769622423262674,4.823117943884191,96
carry_forward,zero_ret_pct,24,holdout,0.40653412412388806,6.573134337088297,84
carry_forward,cs_spread,6,holdout,-0.10313261303336821,-3.4387369553812706,102
carry_forward,cs_spread,12,holdout,-0.11767052049972984,-1.8341621585662846,96
carry_forward,cs_spread,24,holdout,-0.1682278231364474,-1.6266539446217723,84
zero_excess,illiq,6,holdout,0.23734591972185262,7.421484711279492,102
zero_excess,illiq,12,holdout,0.43430265743066254,6.548025508197491,96
zero_excess,illiq,24,holdout,0.6715572971032846,6.228155056743723,84
zero_excess,zero_ret_pct,6,holdout,0.17945986301912026,6.27757576486957,102
zero_excess,zero_ret_pct,12,holdout,0.3376577985571506,4.824208433577889,96
zero_excess,zero_ret_pct,24,holdout,0.4094266096809739,6.770930216755536,84
zero_excess,cs_spread,6,holdout,-0.10240010698963162,-3.412914588160914,102
zero_excess,cs_spread,12,holdout,-0.11588989448021464,-1.81224136858201,96
zero_excess,cs_spread,24,holdout,-0.16654700898058897,-1.6170632856921088,84
wipeout,illiq,6,holdout,0.23588312966978012,7.279289991375818,102
wipeout,illiq,12,holdout,0.4323207552820393,6.429320630260191,96
wipeout,illiq,24,holdout,0.6703531471475346,6.167586143675645,84
wipeout,zero_ret_pct,6,holdout,0.17619973363267463,6.021451276200291,102
wipeout,zero_ret_pct,12,holdout,0.33435483365731156,4.708768652107301,96
wipeout,zero_ret_pct,24,holdout,0.40302512627613896,6.317426757158959,84
wipeout,cs_spread,6,holdout,-0.10295472731823672,-3.429002940507869,102
wipeout,cs_spread,12,holdout,-0.11800258634205976,-1.837780151507988,96
wipeout,cs_spread,24,holdout,-0.16923964101852584,-1.6326143813494036,84
