proxy,horizon_m,Q5_minus_Q1_illiq_minus_liq,nw_t,n_dates
turnover,6,0.13341889896765913,4.397307586648171,102
turnover,12,0.20857466462007274,5.964292597353969,96
turnover,24,0.3704211576672718,6.42489587880335,84
dollar_vol,6,0.2382409992636368,7.345169706670031,102
dollar_vol,12,0.43740793382605136,6.884515493933849,96
dollar_vol,24,0.7259129319967852,6.234078753863064,84
