measure,horizon_m,failure_frac,base_spread,implied_spread
illiq,6,0.05,0.19748931623931626,0.13772001617103583
illiq,6,0.1,0.19748931623931626,0.07795071610275539
illiq,6,0.2,0.19748931623931626,-0.04158788403380548
illiq,6,0.3,0.19748931623931626,-0.1611264841703663
illiq,6,0.5,0.19748931623931626,-0.40020368444348803
illiq,12,0.05,0.3960213032581454,0.32661304289863136
illiq,12,0.1,0.3960213032581454,0.25720478253911727
illiq,12,0.2,0.3960213032581454,0.11838826182008916
illiq,12,0.3,0.3960213032581454,-0.0204282588989389
illiq,12,0.5,0.3960213032581454,-0.2980613003369951
illiq,24,0.05,0.617566287878788,0.5385303704714444
illiq,24,0.1,0.617566287878788,0.45949445306410064
illiq,24,0.2,0.617566287878788,0.3014226182494133
illiq,24,0.3,0.617566287878788,0.14335078343472607
illiq,24,0.5,0.617566287878788,-0.1727928861946486
zero_ret_pct,6,0.05,0.13769680611785873,0.08091713155565117
zero_ret_pct,6,0.1,0.13769680611785873,0.024137456993443607
zero_ret_pct,6,0.2,0.13769680611785873,-0.08942189213097151
zero_ret_pct,6,0.3,0.13769680611785873,-0.20298124125538664
zero_ret_pct,6,0.5,0.13769680611785873,-0.4300999395042169
zero_ret_pct,12,0.05,0.24480935403951903,0.1829616911409363
zero_ret_pct,12,0.1,0.24480935403951903,0.12111402824235357
zero_ret_pct,12,0.2,0.24480935403951903,-0.002581297554811901
zero_ret_pct,12,0.3,0.24480935403951903,-0.12627662335197737
zero_ret_pct,12,0.5,0.24480935403951903,-0.3736672749463083
zero_ret_pct,24,0.05,0.3419529564103285,0.2766977055764078
zero_ret_pct,24,0.1,0.3419529564103285,0.21144245474248716
zero_ret_pct,24,0.2,0.3419529564103285,0.08093195307464579
zero_ret_pct,24,0.3,0.3419529564103285,-0.049578548593195604
zero_ret_pct,24,0.5,0.3419529564103285,-0.31059955192887834
