measure,horizon_m,Q5_minus_Q1,nw_t,n_dates
illiq,6,0.22248862151748885,7.499687114395295,102
illiq,12,0.411651056817397,6.492201567890101,96
illiq,24,0.6632492534503094,6.215200200022521,84
zero_ret_pct,6,0.16658588939078675,6.4236476854927576,102
zero_ret_pct,12,0.3151851228511925,4.638385886051126,96
zero_ret_pct,24,0.3950953132754954,6.399286584934119,84
cs_spread,6,-0.12216940182854416,-3.541545421482951,102
cs_spread,12,-0.1153268355031869,-1.703917512570417,96
cs_spread,24,-0.13915627882256765,-1.251261697057362,84
