measure,horizon_m,split,n_dates,q1,q2,q3,q4,q5
illiq,6,train,102,-0.09045009811133353,0.01202283646477834,0.10749616810916604,0.12522693514874159,0.25402586224445806
illiq,6,holdout,102,-0.05912271635197547,0.03831494954688879,0.11437723245980347,0.12347230596688143,0.2580354229342482
illiq,12,train,96,-0.1712969553275068,-0.0014268305140236043,0.1729018641318212,0.23656979604296188,0.48201061486961266
illiq,12,holdout,96,-0.10767734390122634,0.1315635485158331,0.17154010774778095,0.1879860931749923,0.5430906709726089
illiq,24,train,84,-0.25366119897321115,-0.01696399222120564,0.2854668217699202,0.41048581397906514,0.703424017637866
illiq,24,holdout,84,-0.17577217739751894,0.2011466510002123,0.26080549200949643,0.4057006925363729,0.8792605547033987
zero_ret_pct,6,train,102,-0.035207457191899987,0.021237939686314183,0.07325833783907114,0.11748886952648646,0.23003690353355732
zero_ret_pct,6,holdout,102,-0.02480764678551812,0.056973974139891824,0.06362992825749862,0.14508313654248625,0.2361687342118862
zero_ret_pct,12,train,96,-0.05631536297621612,0.03721374217205923,0.16756024889443047,0.19204194226631147,0.3757534237417816
zero_ret_pct,12,holdout,96,-0.03948805789477033,0.1287019439812516,0.11260752398174995,0.2441203978611842,0.49400785865934216
zero_ret_pct,24,train,84,-0.05637937028809683,0.16073895514224365,0.2534146306066199,0.2719279114011657,0.498575849777266
zero_ret_pct,24,holdout,84,0.019747022178471692,0.3134725338152079,0.1533411476956589,0.3645038853049873,0.7815274306545008
cs_spread,6,train,102,0.1203389324545956,0.10736562804425162,0.062806978293098,0.05257338169351256,0.05636959824110692
cs_spread,6,holdout,102,0.13888964724890157,0.11281905986014124,0.07741992242468165,0.04343803167996079,0.10833114032942542
cs_spread,12,train,96,0.23801005968278333,0.17486014407891837,0.10101555320864304,0.10317726127316164,0.08879824006334913
cs_spread,12,holdout,96,0.2453663301009236,0.18629472710474707,0.16370216879000174,0.10492476160607346,0.25318902850167097
cs_spread,24,train,84,0.347981612932661,0.26686510964549653,0.16462522554104778,0.16475825802309846,0.173511118909103
cs_spread,24,holdout,84,0.3297308872756287,0.3577853930874838,0.3339689888770647,0.2541438598693191,0.3812079531256957
